Batch Size,Sequential Prop,Average Sequential Loss,Total Training Time,Total Peak Memory,Test Loss
4,0.3,0.010544,8.147640943527222,443.78,0.01039
4,0.35,0.0108,8.656369686126709,417.02,0.01061
4,0.4,0.010676,9.195059061050415,381.67,0.01049
4,0.45,0.010542,9.746026992797852,350.62,0.0104
4,0.5,0.010514,10.18247389793396,320.89,0.01034
4,0.55,0.010662,10.788851976394653,329.49,0.01051
4,0.6,0.010575,11.291622161865234,343.99,0.01038
4,0.65,0.010574,11.952993154525757,357.33,0.01036
4,0.7,0.010443,12.451352834701538,372.18,0.01029
4,0.75,0.010411,12.88767147064209,385.27,0.01024
4,0.8,0.010725,13.41778826713562,399.07,0.01058
4,0.85,0.010562,14.004267454147339,413.46,0.01039
4,0.9,0.010681,14.447021245956421,426.91,0.01052
4,0.95,0.01082,15.067610502243042,440.82,0.01069
4,0.96,0.010512,15.237523317337036,443.6,0.0104
4,0.97,0.010682,15.399372577667236,446.39,0.01057
4,0.98,0.010637,15.55726170539856,449.17,0.01054
4,0.99,0.010421,15.401256084442139,451.95,0.01032
5,0.05,0.010938,5.423044919967651,599.06,0.01058
5,0.1,0.010605,5.796245336532593,573.02,0.01047
5,0.15,0.010775,6.236722946166992,537.1,0.01051
5,0.2,0.010711,6.656942844390869,505.89,0.01046
5,0.25,0.010544,7.14636492729187,477.02,0.01036
5,0.3,0.010759,7.544608116149902,443.78,0.01056
5,0.35,0.0109,7.975241661071777,417.02,0.01065
5,0.4,0.010626,8.374347448348999,381.67,0.0104
5,0.45,0.010604,8.807747840881348,350.62,0.01042
5,0.5,0.010479,9.054899454116821,320.89,0.01033
5,0.55,0.010563,9.724633693695068,326.92,0.01041
5,0.6,0.010484,10.102951526641846,341.18,0.01031
5,0.65,0.010787,10.591676950454712,354.29,0.01061
5,0.7,0.010499,10.849941492080688,368.9,0.01035
5,0.75,0.010526,11.486767530441284,381.76,0.01031
5,0.8,0.010557,11.89413571357727,395.33,0.01037
5,0.85,0.010588,12.339993953704834,409.48,0.01041
5,0.9,0.010602,12.575601577758789,422.69,0.01045
5,0.95,0.010352,13.14101529121399,436.38,0.01024
5,0.96,0.010508,13.196651458740234,439.11,0.0104
5,0.97,0.010609,13.252914190292358,441.85,0.01051
5,0.98,0.010561,13.506500720977783,444.58,0.01048
5,0.99,0.010558,13.488723039627075,447.32,0.0105
10,0.05,0.010536,5.246918201446533,599.06,0.01043
10,0.1,0.010644,5.405919313430786,573.02,0.01049
10,0.15,0.010545,5.588240623474121,537.1,0.01039
10,0.2,0.010755,5.750554084777832,505.89,0.01062
10,0.25,0.010647,5.978875637054443,477.02,0.01045
10,0.3,0.010816,6.263853073120117,443.78,0.01061
10,0.35,0.010718,6.523448467254639,417.02,0.01055
10,0.4,0.010565,6.750528573989868,381.67,0.0104
10,0.45,0.010607,6.935023307800293,350.62,0.01043
10,0.5,0.010794,7.211125612258911,320.89,0.01063
10,0.55,0.010564,7.370630502700806,324.38,0.01035
10,0.6,0.010507,7.530401229858398,338.4,0.01032
10,0.65,0.010533,7.759643077850342,351.27,0.01029
10,0.7,0.010592,8.01435899734497,365.65,0.01043
10,0.75,0.010624,8.309649229049683,378.28,0.01044
10,0.8,0.010512,8.466107845306396,391.61,0.01033
