Batch Size,Sequential Prop,Initial Time,Initial Peak Memory,Initial Loss,Sequential Time,Sequential Peak Memory,Sequential Loss,Total Loss
15,0.9,0.28521203994750977,150.72,0.033,7.68893837928772,2246.37,0.038544,0.04159
15,0.95,0.2789163589477539,101.66,0.027,8.185417652130127,2325.05,0.038693,0.0417
15,0.96,0.2753279209136963,92.28,0.025,8.27366042137146,2340.6,0.039493,0.04246
15,0.97,0.27069735527038574,84.27,0.021,8.340883731842041,2356.15,0.039908,0.04271
15,0.98,0.31525111198425293,76.41,0.015,8.48020315170288,2371.79,0.040999,0.04385
15,0.99,0.44202637672424316,68.22,0.003,8.578809976577759,2387.11,0.043368,0.0459
20,0.05,0.39103126525878906,980.77,0.039,0.3803081512451172,912.99,0.039247,0.041
20,0.1,0.38582706451416016,932.13,0.039,0.7311992645263672,992.03,0.03912,0.04094
20,0.15,0.3644571304321289,882.21,0.039,1.0923163890838623,1069.77,0.038674,0.04124
20,0.2,0.34729719161987305,833.38,0.039,1.4551258087158203,1148.38,0.039394,0.04159
20,0.25,0.35687804222106934,785.1,0.039,1.8223402500152588,1227.54,0.038962,0.04115
20,0.3,0.3646671772003174,735.72,0.039,2.178187608718872,1305.61,0.039186,0.04115
20,0.35,0.3583240509033203,686.89,0.039,2.5482378005981445,1384.22,0.038972,0.04114
20,0.4,0.33161044120788574,640.13,0.039,2.8982255458831787,1464.08,0.03909,0.04137
20,0.45,0.33391857147216797,590.39,0.038,3.2732083797454834,1542.02,0.038924,0.04098
20,0.5,0.3336200714111328,541.1,0.038,3.6371006965637207,1620.4,0.038763,0.04106
20,0.55,0.3249247074127197,492.13,0.038,4.048934459686279,1699.11,0.038965,0.04127
20,0.6,0.3171868324279785,442.75,0.038,4.421412944793701,1777.29,0.038518,0.04108
20,0.65,0.30876684188842773,394.85,0.037,4.769872665405273,1856.82,0.038552,0.04096
20,0.7,0.2997705936431885,345.32,0.037,8.696124792098999,1934.73,0.038594,0.04105
20,0.75,0.3259446620941162,296.27,0.037,8.55150032043457,2013.12,0.038396,0.04104
20,0.8,0.3268442153930664,250.13,0.036,9.212630033493042,2093.49,0.038437,0.04135
20,0.85,0.36435532569885254,200.13,0.035,11.766315698623657,2171.16,0.038469,0.0413
20,0.9,0.3127784729003906,150.72,0.033,11.797453165054321,2249.43,0.038377,0.0414
20,0.95,0.3312973976135254,101.66,0.027,11.17288064956665,2328.28,0.038994,0.04202
20,0.96,0.3229954242706299,92.28,0.026,11.169018268585205,2343.86,0.039189,0.04214
20,0.97,0.3332836627960205,84.27,0.022,11.591908693313599,2359.45,0.039708,0.04267
20,0.98,0.3658289909362793,76.41,0.015,11.394411087036133,2375.12,0.040608,0.04334
20,0.99,0.49358582496643066,68.22,0.004,11.48511552810669,2390.47,0.043788,0.04633
25,0.05,0.4409043788909912,980.77,0.039,0.5084691047668457,913.13,0.038438,0.04122
25,0.1,0.4170346260070801,932.13,0.039,1.0560529232025146,992.16,0.038587,0.04127
25,0.15,0.3958258628845215,882.21,0.039,1.6825637817382812,1069.9,0.039095,0.04085
25,0.2,0.37506866455078125,833.38,0.039,1.9531753063201904,1148.52,0.039022,0.04111
25,0.25,0.3955702781677246,785.1,0.039,2.4868862628936768,1227.68,0.039303,0.04129
25,0.3,0.4050130844116211,735.72,0.039,2.9944682121276855,1305.74,0.039013,0.04119
25,0.35,0.37167954444885254,686.89,0.039,3.505267858505249,1384.36,0.038576,0.04093
25,0.4,0.3567183017730713,640.13,0.039,3.9505670070648193,1464.22,0.039173,0.04131
25,0.45,0.3521847724914551,590.39,0.039,4.495471954345703,1542.16,0.038798,0.04116
25,0.5,0.34966421127319336,541.1,0.038,4.9748594760894775,1620.54,0.038804,0.04106
25,0.55,0.35245323181152344,492.13,0.038,5.630604028701782,1699.25,0.038934,0.04132
25,0.6,0.3409552574157715,442.75,0.038,6.129122972488403,1777.42,0.039069,0.04154
25,0.65,0.32800889015197754,394.85,0.038,6.529263734817505,1856.96,0.038457,0.04097
25,0.7,0.3195171356201172,345.32,0.037,7.1008265018463135,1934.87,0.038528,0.04113
25,0.75,0.32926177978515625,296.27,0.037,7.537183046340942,2013.26,0.03869,0.04136
25,0.8,0.30992603302001953,250.13,0.036,8.203599214553833,2093.62,0.038159,0.04094
25,0.85,0.31412625312805176,200.13,0.034,8.61557412147522,2171.3,0.03798,0.04082
25,0.9,0.31475830078125,150.72,0.033,9.116817712783813,2249.57,0.038662,0.04164
25,0.95,0.3096883296966553,101.66,0.027,9.752821922302246,2328.42,0.038859,0.04185
25,0.96,0.3354790210723877,92.28,0.026,9.756747245788574,2344.0,0.039628,0.04265
25,0.97,0.3235933780670166,84.27,0.022,10.28711485862732,2359.58,0.039891,0.04283
25,0.98,0.3515660762786865,76.41,0.015,10.142278671264648,2375.26,0.040693,0.0435
25,0.99,0.5336313247680664,68.22,0.003,10.131460666656494,2390.61,0.043631,0.04613
30,0.05,0.41997838020324707,980.77,0.039,0.5002007484436035,913.43,0.039767,0.04116
30,0.1,0.41179513931274414,932.13,0.039,1.0152482986450195,992.62,0.038762,0.04107
30,0.15,0.38280749320983887,882.21,0.039,1.3632161617279053,1070.53,0.03936,0.04137
30,0.2,0.3893318176269531,833.38,0.039,1.8873915672302246,1149.3,0.038947,0.04102
30,0.25,0.3930652141571045,785.1,0.039,2.311694383621216,1228.62,0.039006,0.04109
30,0.3,0.38898372650146484,735.72,0.039,3.0258538722991943,1306.86,0.038816,0.04128
30,0.35,0.38420605659484863,686.89,0.038,3.4408817291259766,1385.63,0.038789,0.04094
30,0.4,0.37882494926452637,640.13,0.038,3.8754539489746094,1465.66,0.038963,0.04103
30,0.45,0.3572838306427002,590.39,0.038,4.455021858215332,1543.76,0.039187,0.04131
30,0.5,0.3525559902191162,541.1,0.038,4.962570428848267,1622.3,0.038627,0.04101
30,0.55,0.34433412551879883,492.13,0.038,5.598984479904175,1701.17,0.03872,0.04113
30,0.6,0.3439617156982422,442.75,0.038,6.045168161392212,1779.51,0.038998,0.04142
30,0.65,0.33440423011779785,394.85,0.038,6.499831914901733,1859.21,0.038634,0.0412
30,0.7,0.3253040313720703,345.32,0.037,6.870213747024536,1937.28,0.038596,0.04121
30,0.75,0.33897972106933594,296.27,0.036,7.634232044219971,2015.84,0.038504,0.04113
30,0.8,0.3173074722290039,250.13,0.036,8.298023223876953,2096.36,0.038405,0.04124
30,0.85,0.3222973346710205,200.13,0.035,8.532317876815796,2174.2,0.038237,0.04119
30,0.9,0.3193182945251465,150.72,0.032,9.009881258010864,2252.64,0.038119,0.04104
30,0.95,0.31354665756225586,101.66,0.027,9.527938604354858,2331.65,0.038916,0.04188
30,0.96,0.31209778785705566,92.28,0.025,9.863821744918823,2347.26,0.039149,0.04208
30,0.97,0.33503222465515137,84.27,0.022,10.072842836380005,2362.88,0.04005,0.04301
