Batch Size,Sequential Prop,Total Time,Total Peak Memory,Total Loss
50,0.6,5.586287021636963,1783.96,0.04117
50,0.65,5.655427932739258,1863.99,0.04131
50,0.7,5.73036789894104,1942.39,0.0412
50,0.75,5.798090934753418,2021.27,0.04153
50,0.8,5.91230034828186,2102.12,0.04108
50,0.85,6.07093071937561,2180.29,0.04126
50,0.9,6.210286617279053,2259.04,0.04145
50,0.95,6.379465103149414,2338.38,0.04219
50,0.96,6.375636577606201,2354.06,0.04226
50,0.97,6.466681003570557,2369.74,0.04275
50,0.98,6.5284950733184814,2385.51,0.0436
50,0.99,6.720555782318115,2400.96,0.04655
55,0.05,4.68976092338562,2825.05,0.04111
55,0.1,4.807141065597534,2680.47,0.04136
55,0.15,4.785226345062256,2530.69,0.0412
55,0.2,4.863484621047974,2384.18,0.04105
55,0.25,4.959492444992065,2239.87,0.04141
55,0.3,5.070556879043579,2091.18,0.04141
55,0.35,5.092408895492554,1944.67,0.04114
55,0.4,5.199900150299072,1802.36,0.04074
55,0.45,5.20025110244751,1653.4,0.04098
55,0.5,5.382598876953125,1627.12,0.04105
55,0.55,5.393036842346191,1706.41,0.04108
55,0.6,5.412750244140625,1785.16,0.04132
55,0.65,5.505747079849243,1865.28,0.04133
55,0.7,5.576774835586548,1943.76,0.04106
55,0.75,5.69983983039856,2022.73,0.04104
55,0.8,5.825348615646362,2103.67,0.04128
55,0.85,5.938283205032349,2181.93,0.04141
55,0.9,6.011859893798828,2260.77,0.04154
55,0.95,6.129212141036987,2340.2,0.04191
55,0.96,6.1402812004089355,2355.9,0.04227
55,0.97,6.138400316238403,2371.59,0.04264
55,0.98,6.25737190246582,2387.39,0.04358
55,0.99,6.411868095397949,2402.85,0.04577
60,0.05,4.708734512329102,2825.05,0.04115
60,0.1,4.851762533187866,2680.47,0.04109
60,0.15,4.8119728565216064,2530.69,0.04126
60,0.2,4.820357322692871,2384.18,0.04139
60,0.25,4.921603679656982,2239.87,0.04135
60,0.3,4.999624252319336,2091.18,0.04136
60,0.35,5.006593942642212,1944.67,0.04086
60,0.4,5.068917274475098,1802.36,0.04114
60,0.45,5.144096851348877,1653.4,0.04113
60,0.5,5.276273965835571,1628.41,0.04093
60,0.55,5.355405569076538,1707.81,0.04128
60,0.6,5.292280673980713,1786.68,0.04105
60,0.65,5.40629768371582,1866.9,0.04114
60,0.7,5.4790709018707275,1945.5,0.04119
60,0.75,5.567312717437744,2024.59,0.04145
60,0.8,5.6417624950408936,2105.64,0.04118
60,0.85,5.817397117614746,2184.01,0.04096
60,0.9,5.81554102897644,2262.98,0.04177
60,0.95,6.005144834518433,2342.51,0.0418
60,0.96,6.009230375289917,2358.24,0.04222
60,0.97,5.91679048538208,2373.95,0.04289
60,0.98,6.072913646697998,2389.77,0.04348
60,0.99,6.119560956954956,2405.26,0.046
65,0.05,4.8001708984375,2825.05,0.04091
65,0.1,4.810085773468018,2680.47,0.04117
65,0.15,4.909224987030029,2530.69,0.04136
65,0.2,5.077146291732788,2384.18,0.04095
65,0.25,5.230919361114502,2239.87,0.04121
65,0.3,5.2965087890625,2091.18,0.04122
65,0.35,5.345283269882202,1944.67,0.04124
65,0.4,5.458224773406982,1802.36,0.04104
65,0.45,5.520603656768799,1653.4,0.04084
65,0.5,5.6273064613342285,1629.51,0.04115
65,0.55,5.771973609924316,1709.01,0.04101
65,0.6,5.753040790557861,1787.97,0.0409
65,0.65,5.910038471221924,1868.3,0.04139
65,0.7,6.030274391174316,1947.0,0.04127
65,0.75,6.0859715938568115,2026.18,0.04118
65,0.8,6.257982015609741,2107.33,0.04122
65,0.85,6.364059686660767,2185.8,0.04094
65,0.9,6.617631435394287,2264.86,0.04143
65,0.95,6.784903287887573,2344.49,0.04189
65,0.96,6.776682138442993,2360.23,0.04242
65,0.97,6.8288514614105225,2375.97,0.04298
65,0.98,6.9772093296051025,2391.81,0.04366
65,0.99,7.088291645050049,2407.31,0.04604
70,0.05,4.714496850967407,2825.05,0.04138
70,0.1,4.831520318984985,2680.47,0.04158
70,0.15,4.866332530975342,2530.69,0.04131
70,0.2,4.918462038040161,2384.18,0.04144
70,0.25,5.003230810165405,2239.87,0.04076
70,0.3,5.17819881439209,2091.18,0.04117
70,0.35,5.2090003490448,1944.67,0.04112
70,0.4,5.340143203735352,1802.36,0.04109
70,0.45,5.389752626419067,1653.4,0.04106
70,0.5,5.515239238739014,1630.48,0.04123
70,0.55,5.573134660720825,1710.06,0.04101
70,0.6,5.627863168716431,1789.11,0.04113
70,0.65,5.7811198234558105,1869.52,0.04125
70,0.7,5.828429937362671,1948.3,0.04093
70,0.75,5.932811975479126,2027.56,0.04136
